Label,X,Y,Region
a1,-5.39,222.38,outer
a2,254.76,222.5,outer
a3,342.79,59.79,outer
a4,342.79,34.9,outer
a5,247.64,-13.46,outer
a6,103.75,-14.48,outer
a7,-5.56,-13.27,outer
a8,80.4,195,inner_1
a9,93.8,194.5,inner_1
a10,94,173,inner_1
a11,82.4,172.9,inner_1
a12,82.6,164,inner_1
a13,93.6,164,inner_1
a14,94,104,inner_1
a15,83,103.7,inner_1
a16,82,45.2,inner_1
a17,72.2,45,inner_1
a18,71.8,24.3,inner_1
a19,55.3,23.8,inner_1
a20,55.3,33,inner_1
a21,44.2,33.4,inner_1
a22,44.34,141.3,inner_1
a23,34,141.5,inner_1
a24,33.8,155.9,inner_1
a25,44,156,inner_1
a26,44,166.8,inner_1
a27,55.5,166.8,inner_1
a28,55.7,186.3,inner_1
a29,79.8,186.5,inner_1
a30,162.6,61,inner_2
a31,172.8,60.8,inner_2
a32,172.6,26.2,inner_2
a33,161,26.2,inner_2
a34,160.9,18.5,inner_2
a35,144.9,18.4,inner_2
a36,145,25.8,inner_2
a37,133.2,26.2,inner_2
a38,133,34.8,inner_2
a39,122.7,35,inner_2
a40,122.9,61.1,inner_2
a41,133,61.1,inner_2
a42,133.2,67.2,inner_2
a43,122.9,67.4,inner_2
a44,122.8,139.4,inner_2
a45,133,139.4,inner_2
a46,133.3,186.4,inner_2
a47,147.5,186.4,inner_2
a48,147.5,170.4,inner_2
a49,162.5,170.4,inner_2
a50,162.6,148.4,inner_2
a51,172.8,148.2,inner_2
a52,173,127.3,inner_2
a53,182.8,127.3,inner_2
a54,182.7,114.2,inner_2
a55,172.8,114,inner_2
a56,172.7,74.4,inner_2
a57,162.6,74.2,inner_2
a58,203.7,78.9,inner_3
a59,203.8,111.9,inner_3
a60,210.9,111.9,inner_3
a61,211.1,135.6,inner_3
a62,219.2,135.4,inner_3
a63,220,158,inner_3
a64,229.6,158,inner_3
a65,229.6,135.7,inner_3
a66,240.4,135.5,inner_3
a67,240.2,79.2,inner_3
a68,229.6,79.2,inner_3
a69,229.8,54.6,inner_3
a70,222.1,54.6,inner_3
a71,221.8,45.8,inner_3
a72,211,46.2,inner_3
a73,210.9,78.7,inner_3
